date,Bangalore traffic,rain in Bengaluru,Bangalore metro,tech layoffs,startups in Bangalore
2025-07-02 09:00:00,9,0,46,0,0
2025-07-02 10:00:00,9,0,47,0,0
2025-07-02 11:00:00,8,0,58,0,0
2025-07-02 12:00:00,9,0,47,0,0
2025-07-02 13:00:00,8,0,50,0,0
2025-07-02 14:00:00,4,0,47,0,0
2025-07-02 15:00:00,6,0,39,0,0
2025-07-02 16:00:00,5,4,47,0,0
2025-07-02 17:00:00,4,0,42,0,0
2025-07-02 18:00:00,5,0,39,0,0
2025-07-02 19:00:00,9,0,42,0,0
2025-07-02 20:00:00,0,0,33,0,0
2025-07-02 21:00:00,0,0,51,0,0
2025-07-02 22:00:00,0,0,44,0,0
2025-07-02 23:00:00,0,0,73,0,0
2025-07-03 00:00:00,0,0,42,0,0
2025-07-03 01:00:00,10,0,45,0,0
2025-07-03 02:00:00,8,0,65,0,0
2025-07-03 03:00:00,7,0,66,0,0
2025-07-03 04:00:00,7,0,64,0,0
2025-07-03 05:00:00,12,0,60,0,0
2025-07-03 06:00:00,13,0,63,0,0
2025-07-03 07:00:00,7,0,58,0,5
2025-07-03 08:00:00,7,0,58,0,0
2025-07-03 09:00:00,9,0,55,0,0
2025-07-03 10:00:00,5,0,63,0,0
2025-07-03 11:00:00,7,0,65,0,0
2025-07-03 12:00:00,7,0,61,0,0
2025-07-03 13:00:00,8,0,59,0,0
2025-07-03 14:00:00,5,0,56,0,0
2025-07-03 15:00:00,5,0,49,0,0
2025-07-03 16:00:00,0,0,0,0,0
